NGVLA_B1   NOAM
NGVLA_B2   NOAM
NGVLA_B3   NOAM
NGVLA_B4   NOAM
NGVLA_B5   NOAM
NGVLA_B6   NOAM
NGVLA_B7   NOAM
NGVLA_B8   NOAM
NGVLA_B9   NOAM
NGVLA_C0   NOAM
NGVLA_C1   NOAM
NGVLA_C2   NOAM
NGVLA_C3   NOAM
NGVLA_C4   NOAM
NGVLA_C5   NOAM
NGVLA_C6   NOAM
NGVLA_C7   NOAM
NGVLA_C8   NOAM
NGVLA_C9   NOAM
NGVLA_D0   NOAM
NGVLA_D1   NOAM
NGVLA_D2   NOAM
NGVLA_D3   NOAM
NGVLA_D4   NOAM
NGVLA_D5   NOAM
NGVLA_D6   NOAM
NGVLA_D7   NOAM
NGVLA_D8   NOAM
NGVLA_D9   NOAM
NGVLA_E0   NOAM
NGVLA_E1   NOAM
NGVLA_E2   NOAM
NGVLA_E3   NOAM
NGVLA_E4   NOAM
NGVLA_E5   NOAM
NGVLA_E6   NOAM
NGVLA_E7   NOAM
NGVLA_E8   NOAM
NGVLA_E9   NOAM
NGVLA_F0   NOAM
NGVLA_F1   NOAM
NGVLA_F2   NOAM
NGVLA_F3   NOAM
NGVLA_F4   NOAM
NGVLA_F5   NOAM
NGVLA_F6   NOAM
NGVLA_F7   NOAM
NGVLA_F8   NOAM
NGVLA_F9   NOAM
NGVLA_G0   NOAM
NGVLA_G1   NOAM
NGVLA_G2   NOAM
NGVLA_G3   NOAM
NGVLA_G4   NOAM
NGVLA_G5   NOAM
NGVLA_G6   NOAM
NGVLA_G7   NOAM
NGVLA_G8   NOAM
NGVLA_G9   NOAM
NGVLA_H0   NOAM
NGVLA_H1   NOAM
NGVLA_H2   NOAM
NGVLA_H3   NOAM
NGVLA_H4   NOAM
NGVLA_H5   NOAM
NGVLA_H6   NOAM
NGVLA_H7   NOAM
NGVLA_H8   NOAM
NGVLA_H9   NOAM
NGVLA_I0   NOAM
NGVLA_I1   NOAM
NGVLA_I2   NOAM
NGVLA_I3   NOAM
NGVLA_I4   NOAM
NGVLA_I5   NOAM
NGVLA_I6   NOAM
NGVLA_I7   NOAM
NGVLA_I8   NOAM
NGVLA_I9   NOAM
NGVLA_J0   NOAM
NGVLA_J1   NOAM
NGVLA_J2   NOAM
NGVLA_J3   NOAM
NGVLA_J4   NOAM
NGVLA_J5   NOAM
NGVLA_J6   NOAM
NGVLA_J7   NOAM
NGVLA_J8   NOAM
NGVLA_J9   NOAM
NGVLA_K0   NOAM
NGVLA_K1   NOAM
NGVLA_K2   NOAM
NGVLA_K3   NOAM
NGVLA_K4   NOAM
NGVLA_K5   NOAM
NGVLA_K6   NOAM
NGVLA_K7   NOAM
NGVLA_K8   NOAM
NGVLA_K9   NOAM
NGVLA_L0   NOAM
NGVLA_L1   NOAM
NGVLA_L2   NOAM
NGVLA_L3   NOAM
NGVLA_L4   NOAM
NGVLA_L5   NOAM
NGVLA_L6   NOAM
NGVLA_L7   NOAM
NGVLA_L8   NOAM
NGVLA_L9   NOAM
NGVLA_M0   NOAM
NGVLA_M1   NOAM
NGVLA_M2   NOAM
NGVLA_M3   NOAM
NGVLA_M4   NOAM
NGVLA_M5   NOAM
NGVLA_M6   NOAM
NGVLA_M7   NOAM
NGVLA_M8   NOAM
NGVLA_M9   NOAM
NGVLA_N0   NOAM
NGVLA_N1   NOAM
NGVLA_N2   NOAM
NGVLA_N3   NOAM
NGVLA_N4   NOAM
NGVLA_N5   NOAM
NGVLA_N6   NOAM
NGVLA_N7   NOAM
NGVLA_N8   NOAM
NGVLA_N9   NOAM
NGVLA_O0   NOAM
NGVLA_O1   NOAM
NGVLA_O2   NOAM
NGVLA_O3   NOAM
NGVLA_O4   NOAM
NGVLA_O5   NOAM
NGVLA_O6   NOAM
NGVLA_O7   NOAM
NGVLA_O8   NOAM
NGVLA_O9   NOAM
NGVLA_P0   NOAM
NGVLA_P1   NOAM
NGVLA_P2   NOAM
NGVLA_P3   NOAM
NGVLA_P4   NOAM
NGVLA_P5   NOAM
NGVLA_P6   NOAM
NGVLA_P7   NOAM
NGVLA_P8   NOAM
NGVLA_P9   NOAM
NGVLA_Q0   NOAM
NGVLA_Q1   NOAM
NGVLA_Q2   NOAM
NGVLA_Q3   NOAM
NGVLA_Q4   NOAM
NGVLA_Q5   NOAM
NGVLA_Q6   NOAM
NGVLA_Q7   NOAM
NGVLA_Q8   NOAM
NGVLA_Q9   NOAM
NGVLA_R0   NOAM
NGVLA_R1   NOAM
NGVLA_R2   NOAM
NGVLA_R3   NOAM
NGVLA_R4   NOAM
NGVLA_R5   NOAM
NGVLA_R6   NOAM
NGVLA_R7   NOAM
NGVLA_R8   NOAM
NGVLA_R9   NOAM
NGVLA_S0   NOAM
NGVLA_S1   NOAM
NGVLA_S2   NOAM
NGVLA_S3   NOAM
NGVLA_S4   NOAM
NGVLA_S5   NOAM
NGVLA_S6   NOAM
NGVLA_S7   NOAM
NGVLA_S8   NOAM
NGVLA_S9   NOAM
NGVLA_T0   NOAM
NGVLA_T1   NOAM
NGVLA_T2   NOAM
NGVLA_T3   NOAM
NGVLA_T4   NOAM
NGVLA_T5   NOAM
NGVLA_T6   NOAM
NGVLA_T7   NOAM
NGVLA_T8   NOAM
NGVLA_T9   NOAM
NGVLA_U0   NOAM
NGVLA_U1   NOAM
NGVLA_U2   NOAM
NGVLA_U3   NOAM
NGVLA_U4   NOAM
NGVLA_U5   NOAM
NGVLA_U6   NOAM
NGVLA_U7   NOAM
NGVLA_U8   NOAM
NGVLA_U9   NOAM
NGVLA_V0   NOAM
NGVLA_V1   NOAM
NGVLA_V2   NOAM
NGVLA_V3   NOAM
NGVLA_V4   NOAM
NGVLA_V5   NOAM
NGVLA_V6   NOAM
NGVLA_V7   NOAM
NGVLA_V8   NOAM
NGVLA_V9   NOAM
NGVLA_W0   NOAM
NGVLA_W1   NOAM
NGVLA_W2   NOAM
NGVLA_W3   NOAM
NGVLA_W4   NOAM
NGVLA_W5   NOAM
NGVLA_W6   NOAM
NGVLA_W7   NOAM
NGVLA_W8   NOAM
NGVLA_W9   NOAM
NGVLA_X0   NOAM
NGVLA_X1   NOAM
NGVLA_X2   NOAM
NGVLA_X3   NOAM
NGVLA_X4   NOAM
NGVLA_X5   NOAM
NGVLA_X6   NOAM
NGVLA_X7   NOAM
NGVLA_X8   NOAM
NGVLA_X9   NOAM
NGVLA_Y0   NOAM
NGVLA_Y1   NOAM
NGVLA_Y2   NOAM
NGVLA_Y3   NOAM
NGVLA_Y4   NOAM
NGVLA_Y5   NOAM
NGVLA_Y6   NOAM
NGVLA_Y7   NOAM
NGVLA_Y8   NOAM
NGVLA_Y9   NOAM
#
DBR231     NOAM
DBR205     NOAM
